death to spies: moment of truth	The Most Mysterious Secret Service Agency of WWII This is a third-person stealth-action game describing the activities of the SMERSH, the most mysterious secret service agency of World War II. Moment of Truth is a sequel to the popular stealth action title Death to Spies.	['Action', 'Stealth', 'World War II', 'Third Person', 'Shooter', 'Singleplayer', 'Atmospheric']	['Single-player', 'Steam Cloud']
saku	A girl who cannot fall in love. A boy who has no interest in love. If they were to fall in love with each other, how would the world change? From Palette, developers of "Mashiro Iro Symphony", comes the romantic school comedy, "Saku Saku: Love Blooms with the Cherry Blossoms."	['Visual Novel', 'Sexual Content', 'Nudity', 'Casual', 'Anime', 'Cute', 'Story Rich', 'Multiple Endings', 'Choices Matter']	['Single-player', 'Steam Trading Cards', 'Steam Cloud']
dungeons of dredmor	Test your luck and cunning in this exciting RPG as you craft, cast, and pillage your way through Lord Dredmor's Dungeons.	['Traditional Roguelike', 'Roguelike', 'Turn-Based', 'RPG', 'Dungeon Crawler', 'Indie', 'Comedy', 'Perma Death', 'Replay Value', 'Singleplayer', 'Fantasy', 'Funny', 'Casual', 'Crafting', 'Procedural Generation', 'Moddable', '2D', 'Top-Down', 'Difficult', 'Roguelite']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Stats', 'Steam Leaderboards']
thomas was alone	Guide a group of rectangles through a series of obstacles, using their different skills together to get to the end of each environment.	['Platformer', 'Indie', 'Narration', 'Minimalist', 'Puzzle', 'Great Soundtrack', 'Puzzle Platformer', 'Story Rich', '2D', 'Atmospheric', 'Singleplayer', 'Funny', 'Family Friendly', 'Comedy', 'Short', 'Casual', 'Adventure', 'Relaxing', 'Colorful', 'Sci-fi']	['Single-player', 'Steam Achievements', 'Full controller support', 'Remote Play on TV']
love story	A normal male engineering student who used to be successful, is now languishing at the bottom in his English classes. A pretty girl who is said to be unapproachable, and is very proud of herself. How will the romance between the two of them develop?	['Casual', 'Adventure', 'Indie', 'RPG', 'Sexual Content', 'Visual Novel', 'Anime']	['Single-player', 'Steam Achievements']
sophie's curse	You got a job, which is to take care of an old man during the night in a recently purchased house; this house does not have electricity and you have to rely on some kind of hand crank generators to light the place up, but there is something in the darkness draining their power, don’t let it happen!	['Horror', 'Survival Horror', 'Psychological Horror', 'Point & Click', 'Difficult', 'Simulation', 'Jump Scare', 'Singleplayer', 'First-Person', 'Supernatural', 'Survival', 'Strategy', 'Action-Adventure', 'Immersive Sim', 'Stylized', 'Indie', 'Artificial Intelligence', 'Dark', 'Surreal', 'Female Protagonist']	['Single-player', 'Steam Achievements', 'Steam Trading Cards']
dark parables: the final cinderella	Foil the evil Godmother's plans!	['Casual', 'Adventure', 'Hidden Object']	['Single-player']
a rose in the twilight	A girl awakens in a castle void of color and time, affixed with the Curse of Thorns upon her back. After meeting a sleeping giant, the two work together to escape. Help them unravel the mystery of the thorns and the history behind the somber castle.	['Adventure', 'Female Protagonist', 'Puzzle Platformer', 'Anime', 'Cute', 'Puzzle', 'Horror', 'Atmospheric', 'Strategy', '2D', 'Great Soundtrack']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']
tiny rails	Tiny Rails is a relaxing train management adventure. Travel across an immersive and meticulously crafted pixel world. Collect hundreds of beautiful cars, each with their own set of stats, to create your own unique multi-car masterpiece!	['Trains', 'Resource Management', 'Inventory Management', 'Pixel Graphics', 'Transportation', 'Indie', 'Adventure', 'Casual', 'Singleplayer', 'Simulation', 'Strategy', '2D', 'Cute', 'Family Friendly', 'Retro', 'Atmospheric', 'Management', 'Economy', 'Automobile Sim', 'Relaxing']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']
plant tycoon	Plant Tycoon is a gardening sim game where you nurture plants and experiment with increasingly rare and valuable species. The object is to breed and cross breed plants until you find the 6 Magic Plants of Isola and solve the genetic puzzle. You start with a couple of dollars, a handful of seeds, some soil and water.	['Casual', 'Simulation', 'Management', 'Singleplayer']	['Single-player']
over 9000 zombies!	Over 9000 Zombies! is top-down arcade action blown out of all reasonable proportions. An endless horde of zombies is coming your way, how long can you survive?	['Action Roguelike', 'Zombies', 'Multiplayer', 'Twin Stick Shooter', 'Co-op', 'Tower Defense', 'Top-Down', 'Pixel Graphics', 'Roguelike', 'Survival', 'Local Co-Op', 'Memes', 'Action', '2D', 'Retro', 'Arcade', 'Bullet Hell', '4 Player Local', 'Singleplayer', 'Shooter']	['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Includes level editor', 'Remote Play Together']
the mummy demastered	A powerful ancient evil has arisen, and the war to save humanity has begun! As an elite agent in the monster-hunting Prodigium organization, you must use a variety of weapons, upgrades, and mysterious artifacts to defend mankind against the supernatural hordes of Princess Ahmanet.	['Action', 'Adventure', 'Metroidvania', 'Pixel Graphics', 'Retro', 'Great Soundtrack', '2D', 'Platformer', 'Singleplayer', 'Shooter', 'Exploration']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV']
king's bounty: armored princess	King's Bounty: Armored Princess is a sequel to the critically acclaimed King’s Bounty: The Legend.	['RPG', 'Turn-Based Strategy', 'Strategy', 'Fantasy', 'Female Protagonist', 'Turn-Based', 'Hex Grid', 'Singleplayer', 'Adventure', 'Tactical', 'Open World', 'Turn-Based Combat', 'Tactical RPG', 'Classic', 'Great Soundtrack']	['Single-player', 'Steam Cloud']
shogo: mobile armor division	You will know the true power of giant robots!Anime-influenced graphics and gameplay designFight on foot or pilot a giant mech in both open and urban environmentsAn interesting storyline with two possible endings	['Action', 'Adventure', 'Strategy', 'Mechs', 'FPS', 'First-Person', 'Sci-fi', 'Anime', 'Classic', 'Shooter', 'Gore']	['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Remote Play Together']
zork: grand inquisitor	Join forces with Dungeon Master Dalboz and travel throughout the Underground Empire's many locations, such as Hades, Flood Control Dam #3 and The Dungeon Master's Lair.	['Adventure', 'Point & Click', 'Classic', 'FMV']	['Single-player']
stay! stay! democratic people's republic of korea!	Try and navigate your way through one of the world's most tightly controlled dictatorships, with two cute soldiers by your side. Avoid getting shot, executed, black-bagged, or tried for treason as you explore Pyongyang's most famous tourist attractions.	['Memes', 'Anime', 'Visual Novel', 'Nudity', 'Sexual Content', 'Psychological Horror', 'Indie', 'Adventure', 'Dating Sim', 'RPG', 'Story Rich', 'Parody', 'Gore', 'Horror', 'Comedy', 'Mature']	['Single-player', 'Steam Trading Cards', 'Captions available']
is defense	„IS Defense” is a game set in politically-fictional 2020 – where the expansion of ISIS went out of hand. The player takes the role of NATO’s stationary machine-gun operator, deployed to defend the shores of Europe.	['Action', 'Indie', 'Shooter', 'On-Rails Shooter', 'War', 'First-Person', 'Singleplayer', 'FPS', 'Violent']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']
raptor: call of the shadows	Become a mercenary of the future and pilot the super-tech Raptor. Embark on interplanetary missions to knock off top competitors of MegaCorp, battle against hordes of relentless enemies and spend the bounty to expand your devastating arsenal, which can be upgraded with 14 hardcore weapons!	['Action', "Shoot 'Em Up", 'Classic', '2D', 'Old School', "1990's", 'Bullet Hell']	['Single-player', 'Partial Controller Support']
the solus project	The Solus Project is a single player exploration adventure with survival elements. The adventure is set on a mysterious planet and is the spiritual successor to The Ball - 2010 PC Gamer Action/Adventure Game Of The Year...	['Survival', 'Adventure', 'Exploration', 'Sci-fi', 'VR', 'Survival Horror', 'Singleplayer', 'First-Person', 'Atmospheric', 'Space', 'Horror', 'Story Rich', 'Simulation', 'Walking Simulator', 'Indie', 'Open World', 'Mystery', 'Crafting', 'Psychological Horror', 'Sandbox']	['Single-player', 'Steam Achievements', 'Full controller support', 'Tracked Controller Support', 'VR Supported', 'Steam Trading Cards', 'Captions available', 'Remote Play on TV']
headlander	Launch into the ultimate head trip as you blast through psychotic robots in a retro 70's sci-fi action adventure from Double Fine Productions. It is a world of automation, a utopia gone wrong in which all of humanity have transferred their minds into robotic imposter bodies and are ruled by a computer.	['Sci-fi', 'Action', 'Metroidvania', 'Platformer', 'Comedy', 'Side Scroller', 'Retro', 'Funny', 'Great Soundtrack', 'Bullet Hell']	['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud', 'Remote Play on TV']
goosebumps: the game	The walk home from school today is going to be a lot spookier than usual… Your sleepy neighborhood’s been overrun by monsters! Werewolves prowl the woods, Gnomes roam underfoot, and scarecrows walk at midnight. But these aren’t ordinary monsters—they’re R.L.	['Adventure', 'Casual', 'Horror', 'Point & Click', 'Puzzle', 'Based On A Novel', 'Hidden Object', 'Singleplayer']	['Single-player', 'Steam Achievements', 'Full controller support']
putty pals	Grab a friend and get squishy! Putty Pals is the ultimate co-op platformer, challenging two players to work together and overcome puzzles in a bright and beautiful world.	['Indie', 'Action', 'Adventure', 'Funny', 'Local Multiplayer', 'Local Co-Op', 'Platformer', 'Cute', 'Family Friendly', 'Multiplayer', '2D', 'Side Scroller', 'Colorful', 'Puzzle Platformer', 'Casual', 'Puzzle']	['Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play Together']
super mega neo pug	Turbo Pug is back! and this time, he's airborne! Fly through deserts, green fields and more stunning environments. Dodge an onslaught of enemies and go head to head with giant bosses! Unlock new costumes for Turbo Pug and new creatures to play as. Please try not to squish your pug!	['Casual', 'Indie', 'Pixel Graphics', 'Action', 'Difficult', 'Singleplayer', 'Arcade']	['Single-player', 'Steam Trading Cards']
oniken: unstoppable edition	When a global war nearly decimated humankind, an evil military organization called Oniken takes advantage of the situation to dominate and oppress the few remaining survivors. Even though any resistance to this organization seemed hopeless, a small rebel movement organizes strikes against Oniken.	['Retro', 'Platformer', 'Action', 'Indie', 'Pixel Graphics', '1980s', 'Difficult', '2D', 'Old School', 'Side Scroller', 'Great Soundtrack', 'Ninja', 'Anime', 'Singleplayer']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']
my name is mayo	This is a clicking adventure that simulates the real-life tapping of a Mayo Jar! You will unveil its story and (maybe) you will learn from it!	['Memes', 'Clicker', 'Casual', 'Funny', 'Comedy', 'Indie', 'Singleplayer', 'Sexual Content', 'Story Rich', 'Survival Horror', 'Horror']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Leaderboards']
tallowmere	Raise your shield. Indulge Lady Tallowmere and her lovingly violent dungeons. New rooms are created every time you play. How deep can you delve?	['Indie', 'Action Roguelike', '2D Platformer', 'Hack and Slash', 'Dungeon Crawler', 'Fantasy', 'Loot', 'Pixel Graphics', 'Blood', 'Gore', 'Score Attack', 'Singleplayer', 'Local Co-Op', '4 Player Local', 'Controller', 'Roguelike', 'Perma Death', 'Procedural Generation', 'Replay Value', 'Roguelite']	['Single-player', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play Together']
seven kingdoms: ancient adversaries	Conquer the world and build your empire! Lead one civilization to glory through sophisticated trade, diplomacy, espionage and conquest.	['Strategy', 'RTS', 'Classic']	['Single-player']
deadburg	Deadburg is a co-op survival game set in a procedurally generated city with thousands of buildings to explore and zombies to kill. Every building you see can be explored, exploited and destroyed one block at a time. Play alone or with friends and discover the secrets of the city.	['Action', 'Survival', 'Base Building', 'Zombies', 'Sandbox', 'FPS', '3D', 'Controller', 'Crafting', 'PvE', 'Co-op', 'Adventure', 'Multiplayer', 'Online Co-Op', 'Singleplayer', 'Building']	['Single-player', 'Online Co-op', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']
supercross	Live the adrenaline and the excitement of the 2017 Monster Energy Supercross Championship with MONSTER ENERGY SUPERCROSS - THE OFFICIAL VIDEOGAME!	['Simulation', 'Racing', 'Sports', 'Motorbike', 'Motocross', 'Bikes', 'Cycling', 'Multiplayer', 'Singleplayer']	['Single-player', 'Online PvP', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor']
tengai	Miko-san and ninja girl blast away! The best of eccentric Japanese-style shooter is here! With online rankings!	['Action', "Shoot 'Em Up", 'Arcade', 'Bullet Hell', 'Pixel Graphics', '2D', 'Classic', 'Shooter', 'Ninja', 'Anime', 'Female Protagonist']	['Single-player', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Steam Leaderboards']
samurai of hyuga	Become the vagabond you always knew you were. Rely on your blade and wits, for little else will save you amidst the cold and unforgiving North! Retrace the steps of your past and rekindle a love once lost. Or try your best to snuff it out—either way, it’s going to burn.	['Adventure', 'Indie', 'Sexual Content', 'RPG', 'Nudity', 'Text-Based', 'Choose Your Own Adventure']	['Single-player', 'Steam Achievements', 'Captions available', 'Steam Cloud']
bit blaster xl	A throwback to the classic quarter eating arcade games of the 80's. Bit Blaster XL is a retro styled, addictive, and fast paced arcade shoot 'em up! (shmup).	['Indie', 'Arcade', 'Pixel Graphics', 'Casual', "Shoot 'Em Up", 'Action', 'Retro', '2D', 'Space', 'Bullet Hell', 'Shooter', 'Singleplayer', 'Great Soundtrack', 'Score Attack', 'Sci-fi', 'Difficult', 'Survival', 'Family Friendly', 'Replay Value', 'Controller']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']
andro dunos	The sequel of the famous Shoot'em up from the Visco studio is back, 30 years after the first opus, released exclusively on Neo-Geo MVS and Neo-Geo AES in 1992 . It's time to bring out your good old battle ship in ANDRO DUNOS 2!	["Shoot 'Em Up", 'Bullet Hell', 'Action', 'Difficult', 'Arcade', 'Shooter', '2D', 'Linear', 'Pixel Graphics', 'Controller', 'Singleplayer', 'Futuristic', 'Soundtrack', 'Indie']	['Single-player', 'Partial Controller Support']
ninja	After a long vacation our ninja is a little rusty, can you help him with his training? Ninja Stealth III brings you 30 new challenging levels, are you ready?	['Stealth', 'Strategy', 'Ninja', 'Indie', 'Casual', 'Action-Adventure', 'Difficult', 'Puzzle', '2D', 'Top-Down', 'Singleplayer', 'Action', 'Collectathon', 'Martial Arts', 'Logic', 'Adventure', 'Arcade', 'Sequel', 'RPG']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']
sea dogs: city of abandoned ships	Fortune and glory awaits you! In Sea Dogs - City of Abandoned Ships you can choose to go it alone and become the most feared pirate of the seven seas. Or you can prove your loyalty to one of four different navies; French, English, Spanish, or Dutch.	['Gore', 'Violent', 'Action', 'RPG', 'Pirates', 'Sailing', 'Naval', 'Choose Your Own Adventure', 'Atmospheric', 'Swordplay', 'Choices Matter', '6DOF', 'Blood', 'CRPG', 'Historical', 'Military', 'War', 'Wargame', 'Action-Adventure', 'Cult Classic']	['Single-player']
classic card games	17 of the best classic card games in the world in great 3D graphics! Compete with virtual opponents in Rummy, Canasta, Poker, Gin Rummy, Crazy Eights, Blackjack, War and many more! Each game offers a huge amount of rule variants, rooms, tables and more: a must-have for every card game lover!	['Card Game', 'Tabletop', 'Casual', 'Simulation', 'Strategy', 'Indie', 'Board Game', 'Singleplayer', 'Relaxing', 'Moddable', 'Turn-Based', 'Replay Value', 'Puzzle', 'Atmospheric', 'Multiplayer', 'Free to Play', 'Adventure', 'Sandbox', 'Family Friendly', '3D']	['Single-player', 'Steam Achievements', 'Steam Cloud', 'Stats']
fantasy general	Fantasy General invites you to enter a world of heroes, swords, magic and beasts. You must lead your army into battle with the Shadowlord’s forces and defeat each of his lieutenants across varying terrain and battlefields.	['Strategy', 'Singleplayer', 'Turn-Based Strategy', 'Fantasy', 'Turn-Based Combat', 'Turn-Based Tactics', 'Wargame', 'Magic', '2D', 'Soundtrack', 'War']	['Single-player', 'Steam Cloud']
momodora iii	Momodora III is a classic action platform game with a variety of items and secrets. It's the third installment of the Momodora series, although playing the previous titles is not necessary to enjoy the game!	['Indie', 'Action', 'Platformer', 'Pixel Graphics', 'Female Protagonist', 'Anime', '2D', 'Cute', 'Metroidvania', 'Singleplayer', 'Great Soundtrack', 'Difficult', 'Atmospheric', '2D Platformer']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']
tennis manager	Become a tennis manager. Manage your tennis academy and train the next tennis super stars. Even more realistic, with new players and updated potentials. Take the reins in 2022.	['Simulation', 'Sports', 'Tennis', 'Management', 'Strategy', 'Tactical', 'eSports', '3D', 'Indie', 'Immersive Sim', 'Text-Based', 'Resource Management', 'Artificial Intelligence', 'Character Customization', 'Tutorial', 'Singleplayer', 'Life Sim', 'RTS', 'Time Management', 'Realistic']	['Single-player', 'Steam Achievements', 'Steam Workshop']
mad tracks	Mad Tracks is an action packed toy car games. Play mini games and race in everyday places. Have immediate fun – guaranteed!	['Racing', 'Arcade', 'Colorful', 'Casual', 'Atmospheric', 'Combat Racing', 'Split Screen', 'First-Person', 'Third Person', 'Driving', '3D', 'Relaxing', 'Funny', '4 Player Local', 'Mini Golf', 'PvP', 'Physics', 'Local Multiplayer', 'Vehicular Combat', 'Controller']	['Single-player', 'Shared/Split Screen PvP', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play Together']
vs.	Cookies vs. Claus is an action-packed battle game. With a range of characters to choose from, you can battle as your favorite cookie or take on a squad as a holiday character. Through both single and multiplayer, experience a unique asymmetric shooter that combines elements of FPS and battle arena games. THIS IS COOKIES VS. CLAUS!	['Action', 'Indie', 'Casual', 'Early Access', 'Multiplayer', 'Funny']	['Single-player', 'Online PvP', 'Cross-Platform Multiplayer', 'Partial Controller Support']
bejeweled deluxe	In the game, you must swap two adjacent gems to line up three or more of the same jewel type horizontally or vertically to eliminate them. Keep playing until there are no moves left or you've conquered the board. Bejeweled's gameplay can be fun for both kids and adults.	['Casual', 'Puzzle', 'Match 3', 'Singleplayer']	['Single-player', 'Remote Play on Phone', 'Remote Play on Tablet']
make america great again: the trump presidency	A Pro-Donald Trump presidential simulation. Make America Rich Again through trade. Make America Safe again by Defeating ISIS. Make America Great Again!	['Memes', 'Post-apocalyptic', 'Political Sim', 'Political', 'Illuminati', 'Politics', 'Simulation', 'Dystopian', 'Casual', 'Strategy', 'Story Rich', 'Economy', 'Indie', 'Action', 'America', 'Survival Horror', 'Sexual Content', 'Dark Fantasy', 'Comedy', 'Funny']	['Single-player', 'Steam Achievements', 'Steam Trading Cards']
imperium galactica	Reintroducing a classic from the golden era of gaming, the original empire building space RTS, Imperium Galactica 2 is back and looking better than ever with new high-res textures and vivid colors.	['Strategy', 'Space', 'RTS', '4X', 'Classic']	['Single-player', 'Online PvP', 'Steam Cloud']
the dream machine: chapter 1 & 2	The Dream Machine is an award-winning point & click adventure game about exploring other people's dreams. It's built by hand using materials such as clay, cardboard and broccoli.	['Point & Click', 'Hand-drawn', 'Puzzle', 'Casual', '2D', 'Third Person', 'Narration', 'Psychological Horror', 'Psychedelic', 'Exploration', 'Horror', 'Surreal', 'Conversation', 'Story Rich', 'Fantasy', 'Logic', 'Adventure', 'Atmospheric', 'Mystery', 'Sci-fi']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']
doctor who	Experience an unforgettable adventure in space and time. Explore new worlds, face Daleks, Cybermen and Weeping Angels and join two Doctors on an epic quest to save the universe from an unstoppable new threat in this first-person narrative adventure.	['Action-Adventure', 'Exploration', 'Story Rich', 'Puzzle', 'Mystery', 'Space', 'First-Person', 'Sci-fi', 'Action', 'Time Travel', 'Adventure', 'Horror', 'FPS', 'Stealth', 'Atmospheric', 'Futuristic', 'Singleplayer', 'Indie', 'VR']	['Single-player', 'Steam Achievements', 'Full controller support']
al-qadim: the genie's curse	Experience the mysterious Al-Qadim game world and prepare for arcade-style combat and role-playing genre - all in the style of Arabian Nights! Diverging from the Gold Box formula, Al-Qadim allows you to experience the immersion and thrill of an AD&D adventure with a condensed role-playing system.	['RPG', 'Action', 'Fantasy', "1990's", 'Old School', 'Retro', 'Dungeons & Dragons']	['Single-player', 'Steam Cloud']
7 wonders	Get ready to fly with Amber in this "wonderful" time management adventure!	['Casual', 'Story Rich', 'Time Management', 'Female Protagonist', 'Adventure']	['Single-player', 'Steam Achievements']
samoliotik	SAMOLIOTIK is a stylish shoot-em-up with different enemies, bosses, colour palettes, power-ups, set in different eras. In this game you will fight Adolf Gutler,The Illuminati, and other creatures.	['Casual', 'Indie', 'Illuminati', 'Action', 'Pixel Graphics', 'Memes', 'Psychological Horror', 'Singleplayer', "Shoot 'Em Up", '2D', 'Atmospheric', 'Story Rich', 'Funny']	['Single-player', 'Steam Achievements', 'Steam Trading Cards']
knightmare	Break through ceilings, rescue princesses and escape boiling lava as you slash your way to the top of the Knightmare Tower!	['Side Scroller', 'Bullet Hell', "Shoot 'Em Up", 'Hack and Slash', 'PvE', 'Arcade', 'Action RPG', '2D', 'Funny', 'Controller', 'Linear', 'Action', 'Casual', 'Cartoony', 'Colorful', 'Hand-drawn', 'Dark Fantasy', 'Fantasy', 'Medieval', 'Score Attack']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']
death end re;quest	In collaboration with Corpse Party scenario writer Makoto Kedouin, this horror RPG follows Mai Toyama’s search for her sister in a quiet lakeside town. She’ll unravel clues to the town’s past by day, and battle Shadow Matter by night. Can you uncover the truth before reality is consumed by darkness?	['RPG', 'Action', 'Adventure', 'Anime', 'JRPG', 'Female Protagonist', 'Sexual Content', 'Gore', 'Horror', 'Psychological Horror', 'Nudity', 'Violent', 'Turn-Based', 'Turn-Based Combat', 'Visual Novel', 'Singleplayer', 'Dark Fantasy', 'Fantasy', 'Story Rich']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']
cossacks ii: napoleonic wars	Cossacks II: Napoleonic Wars sends the player into the heroic XIX century where they assume the role of a commander to take part in the massive historical battles for the supremacy over Europe.	['Strategy', 'RTS', 'Historical', 'Singleplayer']	['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Remote Play Together']
mitsurugi kamui hikae	Take on the role of a warrior maiden forced to hunt down her best friend, who has stolen a sacred demon blade. Immerse yourself in the tale of a deadly feud between two old friends and the demonic sword tearing them apart―told through high-speed action!	['Female Protagonist', 'Hack and Slash', 'Mature', 'Cute', 'Arcade', 'Third Person', 'Anime', 'Controller', 'Swordplay', 'Destruction', 'Singleplayer', 'Nudity', '3D Fighter', 'Fighting', 'Fast-Paced', "Beat 'em up", '3D', 'Action', 'Spectacle fighter', 'Character Action Game']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Remote Play on TV']
knights of the temple: infernal crusade	You are Paul de Raque, a Knight Templar on a journey to the Holy Land with the goal to reunite with his Order in Jerusalem. But you are more than just a common crusader - you are on a holy mission. The future of the world and all mankind rests on your shoulders…	['Action', 'Adventure', 'Gore', 'Medieval', 'Hack and Slash', 'Singleplayer', 'Third Person', 'Action-Adventure', 'Classic', 'Great Soundtrack']	['Single-player']
